Date,Open,High,Low,Close,Adj Close,Volume
1975-09-01,11.640625,12.265625,11.101563,11.765625,3.306188,18624000
1975-10-01,11.765625,13.484375,11.453125,13.265625,3.727690,31411200
1975-11-01,13.265625,14.156250,13.187500,14.148438,3.975769,20020800
1975-12-01,14.148438,14.203125,12.984375,14.015625,3.970998,20083200
1976-01-01,14.015625,16.234375,13.960938,16.109375,4.564213,36676800
1976-02-01,16.109375,16.531250,15.734375,15.976563,4.526584,24716800
1976-03-01,15.976563,16.617188,15.890625,16.375000,4.670464,24401600
1976-04-01,16.375000,17.078125,15.773438,15.835938,4.516709,28350400
1976-05-01,15.796875,16.218750,15.328125,16.039063,4.574645,18865600
1976-06-01,16.031250,17.429688,15.750000,17.296875,4.968174,28011200
1976-07-01,17.296875,17.523438,16.750000,17.007813,4.885149,25787200
1976-08-01,17.007813,17.546875,16.734375,17.101563,4.912076,20012800
1976-09-01,17.101563,18.031250,17.078125,17.585938,5.092607,24534400
1976-10-01,17.585938,17.703125,15.812500,16.984375,4.918406,33817600
1976-11-01,16.984375,17.218750,16.093750,16.937500,4.904830,26073600
1976-12-01,16.937500,17.625000,16.546875,17.445313,5.094657,27566400
1977-01-01,17.281250,17.531250,16.632813,17.203125,5.023932,32448000
1977-02-01,17.203125,17.367188,16.625000,17.250000,5.037621,25752000
1977-03-01,17.257813,17.882813,17.234375,17.281250,5.093176,37860800
1977-04-01,17.281250,17.453125,16.031250,16.171875,4.766217,36848000
1977-05-01,16.171875,16.484375,15.281250,15.343750,4.522151,30588800
1977-06-01,15.375000,16.804688,15.375000,16.500000,4.909615,32380800
1977-07-01,16.492188,17.218750,16.125000,16.757813,4.986327,27246400
1977-08-01,16.757813,17.000000,16.492188,16.773438,4.990976,22665600
1977-09-01,16.773438,16.812500,15.953125,16.312500,4.899231,21864000
1977-10-01,16.312500,16.406250,15.882813,16.078125,4.828837,26683200
1977-11-01,16.078125,16.828125,15.562500,16.500000,4.955542,36395200
1977-12-01,16.500000,17.203125,16.203125,17.093750,5.184548,32008000
1978-01-01,16.781250,17.062500,16.500000,16.593750,5.032897,39188800
1978-02-01,16.593750,16.648438,15.640625,15.703125,4.762768,27854400
1978-03-01,15.703125,15.781250,14.703125,14.718750,4.513585,49926400
1978-04-01,14.765625,16.625000,14.671875,16.625000,5.098152,60392000
1978-05-01,16.625000,16.796875,16.125000,16.140625,4.949612,38838400
1978-06-01,16.140625,17.265625,16.000000,16.078125,4.984982,37203200
1978-07-01,16.078125,17.593750,15.937500,17.562500,5.445210,39387200
1978-08-01,17.562500,18.796875,17.437500,18.242188,5.655948,50198400
1978-09-01,18.250000,19.031250,17.093750,17.312500,5.420980,32940800
1978-10-01,17.312500,18.343750,16.468750,16.515625,5.171462,45206400
1978-11-01,16.578125,17.281250,16.000000,16.843750,5.274205,39755200
1978-12-01,16.914063,19.375000,16.835938,18.656250,5.906114,45998400
1979-01-01,18.656250,19.765625,18.406250,19.296875,6.108921,47875200
1979-02-01,19.296875,19.437500,18.570313,18.750000,5.935793,27734400
1979-03-01,18.750000,20.046875,18.664063,19.718750,6.314039,33780800
1979-04-01,19.718750,20.125000,19.140625,19.640625,6.289028,34633600
1979-05-01,19.640625,20.093750,18.890625,19.000000,6.083895,30065600
1979-06-01,19.093750,19.625000,18.031250,18.343750,5.937639,31636000
1979-07-01,18.343750,19.187500,17.000000,17.437500,5.644296,35155200
1979-08-01,17.437500,18.125000,17.062500,17.500000,5.664528,36858000
1979-09-01,17.468750,17.843750,16.437500,16.937500,5.549915,35494800
1979-10-01,16.906250,17.375000,15.281250,15.593750,5.109610,45927200
1979-11-01,15.593750,16.750000,15.281250,16.312500,5.345121,33889200
1979-12-01,16.281250,16.906250,15.812500,16.093750,5.346722,26533600
1980-01-01,15.750000,18.000000,15.312500,17.156250,5.699711,49631600
1980-02-01,17.156250,17.625000,15.500000,15.875000,5.274049,39879600
1980-03-01,15.875000,15.875000,12.843750,13.937500,4.688271,49619200
1980-04-01,13.937500,14.000000,12.593750,13.718750,4.614691,55773200
1980-05-01,13.718750,14.156250,13.000000,13.843750,4.656739,39994400
1980-06-01,13.843750,15.093750,13.812500,14.687500,5.018854,42240800
1980-07-01,14.687500,16.531250,14.593750,16.312500,5.574132,41150000
1980-08-01,16.312500,17.281250,16.000000,16.375000,5.595491,38015200
1980-09-01,16.375000,17.250000,15.843750,16.031250,5.550769,44193600
1980-10-01,16.031250,17.875000,15.906250,16.656250,5.767174,55620000
1980-11-01,16.687500,18.187500,16.562500,17.031250,5.897020,46076800
1980-12-01,17.000000,17.375000,15.812500,16.968750,5.951199,47108400
1981-01-01,16.968750,17.875000,16.000000,16.093750,5.644324,44448800
1981-02-01,16.093750,16.218750,15.062500,16.062500,5.633362,31698800
1981-03-01,16.062500,16.312500,15.343750,15.593750,5.542871,43053600
1981-04-01,15.593750,15.843750,14.656250,14.656250,5.209632,64481600
1981-05-01,14.656250,14.843750,13.781250,14.687500,5.220737,46670800
1981-06-01,14.937500,15.187500,14.281250,14.468750,5.220562,44883600
1981-07-01,14.468750,14.468750,13.656250,14.031250,5.062703,33268800
1981-08-01,14.031250,14.718750,13.750000,13.781250,4.972498,33306800
1981-09-01,13.781250,14.187500,13.062500,13.531250,4.955297,40204800
1981-10-01,13.531250,14.062500,12.093750,12.875000,4.714973,52389600
1981-11-01,13.000000,13.625000,12.468750,13.625000,4.989630,44765600
1981-12-01,13.625000,14.406250,13.250000,14.218750,5.292955,47809200
1982-01-01,14.406250,16.187500,13.906250,15.906250,5.921125,74401600
1982-02-01,15.750000,16.000000,14.937500,15.468750,5.758268,51439200
1982-03-01,15.531250,15.687500,14.281250,14.937500,5.637774,67770800
1982-04-01,15.125000,16.531250,14.968750,16.062500,6.062378,61904400
1982-05-01,16.093750,16.312500,15.312500,15.375000,5.802899,42299600
1982-06-01,15.406250,15.531250,14.375000,15.156250,5.796885,59794400
1982-07-01,15.156250,17.156250,14.843750,16.406250,6.274981,77599600
1982-08-01,16.656250,17.750000,15.531250,17.625000,6.741126,86336400
1982-09-01,17.562500,19.406250,17.343750,18.343750,7.109190,88402400
1982-10-01,18.500000,21.187500,18.312500,19.968750,7.738964,90497200
1982-11-01,20.125000,21.625000,19.875000,21.625000,8.380855,73062000
1982-12-01,21.812500,24.500000,21.531250,24.062500,9.420549,87144800
1983-01-01,23.687500,25.187500,23.062500,24.718750,9.677468,83227600
1983-02-01,24.531250,25.375000,23.468750,24.750000,9.689710,68222000
1983-03-01,25.187500,26.218750,24.656250,25.437500,10.048888,70778800
1983-04-01,25.406250,29.500000,25.281250,29.250000,11.554991,72702000
1983-05-01,29.000000,29.625000,27.437500,27.812500,10.987110,55655600
1983-06-01,27.812500,31.125000,27.562500,30.062500,11.973599,64907200
1983-07-01,30.156250,31.750000,29.656250,30.093750,11.986042,65484400
1983-08-01,30.062500,30.937500,28.812500,29.875000,11.898913,68978400
1983-09-01,29.906250,32.375000,29.531250,31.718750,12.733022,72724800
1983-10-01,31.625000,33.562500,31.375000,31.687500,12.720486,99626000
1983-11-01,31.812500,31.937500,29.343750,29.343750,11.779622,89170800
1983-12-01,29.437500,31.218750,29.281250,30.500000,12.336245,76494400
1984-01-01,30.562500,31.250000,28.156250,28.531250,11.539941,115276000
1984-02-01,28.562500,28.656250,26.625000,27.562500,11.148126,111818400
1984-03-01,27.437500,28.937500,26.656250,28.468750,11.611104,95428400
1984-04-01,28.562500,28.656250,26.875000,28.437500,11.598361,90708800
1984-05-01,28.500000,29.312500,26.406250,26.937500,10.986578,88976000
1984-06-01,26.937500,27.312500,24.750000,26.437500,10.871980,116490800
1984-07-01,26.437500,27.718750,26.000000,27.656250,11.373169,72080800
1984-08-01,27.750000,31.687500,27.718750,30.937500,12.722524,123313200
1984-09-01,30.750000,32.125000,30.218750,31.062500,12.890885,79127600
1984-10-01,30.937500,31.937500,29.687500,31.156250,12.929786,89139600
1984-11-01,31.437500,31.937500,29.875000,30.437500,12.742091,87458000
1984-12-01,30.312500,31.125000,29.000000,30.781250,12.885995,88833200
1985-01-01,30.593750,34.406250,29.750000,34.093750,14.272714,130434000
1985-02-01,33.906250,34.562500,32.687500,33.500000,14.024155,91922000
1985-03-01,33.625000,34.187500,31.031250,31.750000,13.399526,102980400
1985-04-01,31.750000,32.593750,30.968750,31.625000,13.346779,78410400
1985-05-01,31.593750,33.312500,31.156250,32.156250,13.570977,99628400
1985-06-01,32.343750,32.656250,29.343750,30.937500,13.172194,118883600
1985-07-01,30.937500,33.125000,30.000000,32.843750,13.983813,111006400
1985-08-01,32.937500,33.187500,31.375000,31.656250,13.478212,68101200
1985-09-01,31.656250,32.625000,30.562500,30.968750,13.298683,92325600
1985-10-01,31.000000,32.843750,30.718750,32.468750,13.942808,105592000
1985-11-01,32.406250,35.187500,32.406250,34.937500,15.002947,108894800
1985-12-01,34.937500,39.687500,34.406250,38.875000,16.832624,114449200
1986-01-01,38.687500,39.125000,35.750000,37.875000,16.399632,127569600
1986-02-01,37.968750,40.250000,37.500000,37.718750,16.331974,126502400
1986-03-01,37.593750,38.375000,36.125000,37.875000,16.516846,161545600
1986-04-01,37.968750,40.468750,36.843750,39.062500,17.034708,143528000
1986-05-01,39.000000,39.375000,35.562500,38.093750,16.612244,132659200
1986-06-01,38.187500,38.375000,36.031250,36.625000,16.088747,94299600
1986-07-01,36.625000,37.531250,32.468750,33.125000,14.551266,150528800
1986-08-01,33.156250,35.500000,32.312500,34.687500,15.237639,114402800
1986-09-01,34.718750,36.375000,33.281250,33.625000,14.895855,162128000
1986-10-01,33.718750,33.875000,29.937500,30.906250,13.691450,170433600
1986-11-01,31.000000,31.968750,29.812500,31.781250,14.079084,110249600
1986-12-01,31.625000,32.531250,30.000000,30.000000,13.407146,134091600
1987-01-01,30.250000,32.718750,28.937500,32.187500,14.384760,200740000
1987-02-01,32.062500,36.062500,32.000000,34.875000,15.585816,144920000
1987-03-01,34.875000,39.156250,34.406250,37.531250,16.910564,157184400
1987-04-01,37.250000,40.375000,35.656250,40.031250,18.036993,225196000
1987-05-01,40.000000,41.906250,38.750000,40.000000,18.022919,151076000
1987-06-01,40.250000,42.156250,39.000000,40.625000,18.426073,138280000
1987-07-01,40.718750,42.468750,39.781250,40.250000,18.255995,129840400
1987-08-01,39.875000,43.968750,39.625000,42.093750,19.092251,189084000
1987-09-01,42.156250,42.343750,37.125000,37.687500,17.211872,196856000
1987-10-01,37.812500,39.312500,25.000000,30.625000,13.986437,269141200
1987-11-01,30.250000,31.218750,27.500000,27.687500,12.644871,139041600
1987-12-01,28.125000,30.093750,26.250000,28.875000,13.308572,144892800
1988-01-01,29.250000,31.000000,27.156250,28.093750,12.948490,161385200
1988-02-01,28.187500,29.468750,26.718750,29.375000,13.539027,139936000
1988-03-01,29.468750,29.656250,26.062500,26.906250,12.527592,139366000
1988-04-01,26.875000,29.125000,26.406250,28.343750,13.196899,128671200
1988-05-01,28.406250,28.781250,26.875000,28.125000,13.095052,84149200
1988-06-01,28.250000,32.093750,27.937500,31.843750,14.971918,157071600
1988-07-01,31.937500,32.375000,30.000000,31.437500,14.780920,118082800
1988-08-01,31.500000,31.718750,27.593750,27.875000,13.105945,116881200
1988-09-01,27.781250,29.125000,27.375000,28.843750,13.681093,107313600
1988-10-01,28.781250,31.218750,28.187500,30.656250,14.540799,116277200
1988-11-01,30.718750,31.093750,28.531250,29.625000,14.051648,103644400
1988-12-01,29.593750,31.031250,29.406250,30.468750,14.583072,91382800
1989-01-01,30.468750,32.718750,30.156250,32.656250,15.630074,130706400
1989-02-01,32.437500,32.718750,30.156250,30.375000,14.538208,114396400
1989-03-01,30.531250,30.593750,26.906250,27.281250,13.169214,165558400
1989-04-01,27.312500,28.937500,26.562500,28.531250,13.772619,111530800
1989-05-01,28.250000,28.437500,26.875000,27.406250,13.229562,137074400
1989-06-01,27.375000,28.781250,26.875000,27.968750,13.649215,144924400
1989-07-01,28.125000,29.187500,27.656250,28.750000,14.030469,106153600
